O*NET-SOC Code,risacLetters,ProblemSolving_LV,CriticalThinking_LV,ProblemSolving_Score100,CriticalThinking_Score100,ProblemSolving_ReqLevel,CriticalThinking_ReqLevel
15-2031.00,IC,4.5,4.12,64.28571428571429,58.85714285714286,Mid,Mid
15-2041.00,IC,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid
15-2041.01,IC,4.5,4.88,64.28571428571429,69.71428571428572,Mid,Mid
15-2051.00,IC,0.0,0.0,0.0,0.0,Low,Low
15-2051.01,CI,3.75,4.25,53.57142857142857,60.71428571428571,Mid,Mid
15-2051.02,CI,3.62,4.25,51.714285714285715,60.71428571428571,Mid,Mid
15-2099.01,IC,3.38,3.75,48.285714285714285,53.57142857142857,Mid,Mid
17-1011.00,RA,4.25,4.5,60.71428571428571,64.28571428571429,Mid,Mid
17-1012.00,RI,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid
17-1021.00,CI,3.12,3.75,44.57142857142857,53.57142857142857,Mid,Mid
17-1022.00,CR,3.25,4.0,46.42857142857143,57.14285714285714,Mid,Mid
17-1022.01,RC,3.88,4.12,55.42857142857143,58.85714285714286,Mid,Mid
17-2011.00,IR,4.25,4.62,60.71428571428571,66.0,Mid,Mid
17-2021.00,IR,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid
17-2031.00,IR,4.5,4.62,64.28571428571429,66.0,Mid,Mid
17-2041.00,RI,4.38,4.88,62.57142857142857,69.71428571428572,Mid,Mid
17-2051.00,RI,4.12,4.62,58.85714285714286,66.0,Mid,Mid
17-2051.01,RI,4.38,4.0,62.57142857142857,57.14285714285714,Mid,Mid
17-2051.02,RI,4.75,4.12,67.85714285714286,58.85714285714286,Mid,Mid
17-2061.00,RI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid
17-2071.00,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
17-2072.00,RI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid
17-2072.01,CR,3.62,3.88,51.714285714285715,55.42857142857143,Mid,Mid
17-2081.00,IR,4.12,4.0,58.85714285714286,57.14285714285714,Mid,Mid
17-2111.00,IR,3.75,3.88,53.57142857142857,55.42857142857143,Mid,Mid
17-2111.02,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
17-2112.00,CI,4.12,4.12,58.85714285714286,58.85714285714286,Mid,Mid
17-2112.01,IR,4.0,4.38,57.14285714285714,62.57142857142857,Mid,Mid
17-2112.02,IC,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
17-2112.03,RI,4.25,4.0,60.71428571428571,57.14285714285714,Mid,Mid
17-2121.00,RI,4.12,4.5,58.85714285714286,64.28571428571429,Mid,Mid
17-2131.00,RI,4.0,4.25,57.14285714285714,60.71428571428571,Mid,Mid
17-2141.00,RI,4.5,4.12,64.28571428571429,58.85714285714286,Mid,Mid
17-2141.01,RI,3.88,4.25,55.42857142857143,60.71428571428571,Mid,Mid
17-2141.02,RI,4.25,4.75,60.71428571428571,67.85714285714286,Mid,Mid
17-2151.00,RI,4.38,4.5,62.57142857142857,64.28571428571429,Mid,Mid
17-2161.00,IR,4.25,4.88,60.71428571428571,69.71428571428572,Mid,Mid
17-2171.00,RI,4.12,4.38,58.85714285714286,62.57142857142857,Mid,Mid
17-2199.03,RI,4.0,4.12,57.14285714285714,58.85714285714286,Mid,Mid
17-2199.05,RI,4.25,4.0,60.71428571428571,57.14285714285714,Mid,Mid
17-2199.06,IR,4.25,4.12,60.71428571428571,58.85714285714286,Mid,Mid
17-2199.07,IR,4.0,4.75,57.14285714285714,67.85714285714286,Mid,Mid
17-2199.08,RI,4.12,4.62,58.85714285714286,66.0,Mid,Mid
